Review;reference_output;_original_prediction
the rep was friendly but it was so loud in there that I could not hear what she was saying. I HATE having to walk across a big lot with all of my bags in search of my car which is always in the furthest corner.;no;no
They should upgrade me every time.;no;no
customer service was great until we returned the car.  I experienced an issue with damage to the car, and felt that things were left unanswered and still waiting for a response from them.;no;no
Having knowledgeable personnel is very important;no;no
It was good, got the car we wanted without much of a wait in picking up and dropping off;yes;yes
adequate to the price. It was fine;yes;yes
Person very friendly but only person working counter;yes;yes
They provided good service.   It was easy to make on-line reservations, the airport bus took me directly and quickly to the car, gas tank filled, customer service friendly and helped with directions and luggage.;yes;yes
The car rental company that I went with had very good customer service. They were out of a certain car I reserved and gave me a upgrade and apologized.;yes;yes
Experience was fine, usually try to get you to upgrade.;yes;yes
good;yes;yes
Customer Service was fine. They were able to upgrade me for $2 a day to the next class...that was nice.;yes;yes
They were helpful and accommodating when I wanted to change the color of the car.;yes;yes
The customer service was excellent;yes;yes
Experience was fine;yes;yes
Have not rented a car since last October.  Customer Service was good, shuttle service was available to and from airport.  Scheduled pickup was on time and they even found a package we had left in the car and brought it to the shuttle.;yes;yes
it was a great experience;yes;yes
No problems encountered;yes;yes
Very satisfactory. Employees were very helpful in providing directions.;yes;yes
Customer Service was quick and friendly.  I received my car with little hassles.;yes;yes
Customer service was good at MSP airport and the process was very fast.  From getting off of the plane to leaving with my rental car was less than 45 minutes.;yes;yes
no complaints;yes;yes
Friendly and very well informed;yes;yes
It was fine;yes;yes
Employees had nice, new uniforms.;yes;yes
customer service was very good and very professional, energetic;yes;yes
customer service was OK;yes;yes
Customer service was great, but I wish they had searched the car when I returned it.  I left my Palm Pilot in the backseat for 2 days before I noticed it was missing!  Fortunately the car was still in the lot when I called and they were able to ship it to me.;yes;yes
they were fine.;yes;yes
they were very nice and willing to help in any way they could;yes;yes
it was fine, I had no problem at all.;yes;yes
They were very good and took care of what I needed. Very quick.;yes;yes
The customer service people were very nice.  During my vacation I locked my keys in the car.  The rental company sent someone out with a new set of keys to unlock the car.;yes;yes
Everything went fine.  Folks were friendly and informed.;yes;yes
It was okay, we got the car quickly, which is the most important thing;yes;yes
No suggestions.  Customer Service was good.;yes;yes
Customer service was outstanding. Got a free upgrade without even asking. Everyone was very courteous and friendly.;yes;yes
Everyone was very friendly. They even drove us to the airport since we were running late for our flight.;yes;yes
All the people I dealt with were pleasant and helpful.;yes;yes
they were very nice;yes;yes
Everything was fine with my last car rental.;yes;yes
It was a good experience, received an upgrade at no charge.;yes;yes
they were friendly;yes;yes
We did not have any trouble with customer service. No complaints.;yes;yes
They were friendly and helpful enough.;yes;yes
My last rental experience for leisure was fine -- no service issues to speak of.;yes;yes
service was excellent;yes;yes
No problems;yes;yes
customer service was OK;yes;yes
People were nice.  Service was fast.;yes;yes
Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it.;yes;yes
Good experience with all the rental co.'s I contacted. I Just called with rental dates and received pricing and selected rental co.;yes;yes
No problems;yes;yes
Customer service was fine;yes;yes
Customer service went out of their way to provide a car that would fit our needs;yes;yes
Our customer service representative was polite and well-dressed. He smiled appropriately and answered my questions, not from a rehearsed script, but from his own frame of reference. He shirt was neatly pressed and his hair was professionally coifed.;yes;yes
They were actually very nice. It was in Rome and there was a language barrier, but we overcame it.;yes;yes
The woman at the counter was friendly and tried to accommodate me as best she could. The counter was close to the terminal and the whole thing was quick and expedient.;yes;yes
Customer service was friendly and helpful.;yes;yes
They were competent.;yes;yes
very friendly, brought the car to the hotel;yes;yes
The customer service was very friendly and knowledgeable.  She suggested to upgrade to the SUV and it worked out much better for our trip.;yes;yes
it was fine;yes;yes
Staff member was very pleasant. Provided map/directions to my hotel.;yes;yes
Customer service was fine;yes;yes
The people were very nice.  Directions to and from our hotel, the rental company location and tourists attractions were given and they were happy to help us out.;yes;yes
Customer service was fine as I recall. No problems.;yes;yes
It was very late at night and the customer service representative was very obliging and courteous.;yes;yes
it was fine.;yes;yes
I had no problems with the service;yes;yes
the line was slow but the agent was ok;yes;yes
They were great as far as I could tell, they explained what needed to be done to use the University pricing.;yes;yes
 The service was polite and professional. I was attended to quickly and courteously.;yes;yes
Customer service was very good.;yes;yes
Customer service was very good;yes;yes
service was good.;yes;yes
I would have to say that Enterprise car rental has the best customer service. They are very friendly and helpful.;yes;yes
The service I have is always good, I have used the same company for many years and I know the counter personnel personally.  It is always good to know that they are willing to help you in any situation. ;yes;yes
Last time I rented a car was when I went skiing with my whole family.  We got a Chevy Blazer.  We didn't think it was as large as a Ford Explorer, so we asked to switch.  The agent was very nice and gave us the Ford Explorer.;yes;yes
I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous.;yes;yes
I recently rented a car and they were outstanding.  The customer service rep was very helpful and courteous.  They even let me extend my rental by a couple of hours for no charge at all. I was very pleased with my experience and I would go back.;yes;yes
Wonderful experience - the rental and whole process was seamless;yes;yes
They had problem to find reservation number, so whole process took too long time.;no;no
It took us almost three hours just to get a car! It was absurd.;no;no
Provide more convenient car pickup from the airport parking.;no;no
We dealt with customer service at car pick-up place, and drive off in few minutes.;yes;yes
We got our car very quickly.;yes;yes
I get keys from customer service and was able to start my vacation,it was nice;yes;yes
I have never rented the car for a week.  It was great experience. It was in agreement with what my friend said about this company.;yes;yes
greater expedience - the rental and whole process was easy and fast;yes;yes
They couldn't find my confirmation number in their system, which was rather frustrating.;no;no
The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.;no;no
Provide more frequent pickup from the airport.;no;no
We dealt very little with customer service, and we only walked to the car assigned for us, and drive away.;yes;yes
we got the car quickly;yes;yes
I did not need to deal with customer service on my last vacation rental which was nice;yes;yes
For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company;yes;yes
