Review;generated_text
Customer service was outstanding. Got a free upgrade without even asking. Everyone was very courteous and friendly.;yes
Everyone was very friendly. They even drove us to the airport since we were running late for our flight.;yes
All the people I dealt with were pleasant and helpful.;yes
they were very nice;yes
Everything was fine with my last car rental.;yes
It was a good experience, received an upgrade at no charge.;yes
they were friendly;yes
We did not have any trouble with customer service. No complaints.;yes
They were friendly and helpful enough.;yes
My last rental experience for leisure was fine -- no service issues to speak of.;yes
service was excellent;yes
No problems;yes
customer service was OK;yes
People were nice.  Service was fast.;yes
Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it.;yes
Good experience with all the rental co.'s I contacted. I Just called with rental dates and received pricing and selected rental co.;yes
No problems;yes
Customer service was fine;yes
Customer service went out of their way to provide a car that would fit our needs;yes
Our customer service representative was polite and well-dressed. He smiled appropriately and answered my questions, not from a rehearsed script, but from his own frame of reference. He shirt was neatly pressed and his hair was professionally coifed.;yes
They were actually very nice. It was in Rome and there was a language barrier, but we overcame it.;yes
The woman at the counter was friendly and tried to accommodate me as best she could. The counter was close to the terminal and the whole thing was quick and expedient.;yes
Customer service was friendly and helpful.;yes
They were competent.;yes
very friendly, brought the car to the hotel;yes
The customer service was very friendly and knowledgeable.  She suggested to upgrade to the SUV and it worked out much better for our trip.;yes
it was fine;yes
Staff member was very pleasant. Provided map/directions to my hotel.;yes
Customer service was fine;yes
The people were very nice.  Directions to and from our hotel, the rental company location and tourists attractions were given and they were happy to help us out.;yes
Customer service was fine as I recall. No problems.;yes
It was very late at night and the customer service representative was very obliging and courteous.;yes
it was fine.;yes
I had no problems with the service;yes
the line was slow but the agent was ok;yes
They were great as far as I could tell, they explained what needed to be done to use the University pricing.;yes
 The service was polite and professional. I was attended to quickly and courteously.;yes
Customer service was very good.;yes
Customer service was very good;yes
service was good.;yes
I would have to say that Enterprise car rental has the best customer service. They are very friendly and helpful.;yes
The service I have is always good, I have used the same company for many years and I know the counter personnel personally.  It is always good to know that they are willing to help you in any situation. ;yes
Last time I rented a car was when I went skiing with my whole family.  We got a Chevy Blazer.  We didn't think it was as large as a Ford Explorer, so we asked to switch.  The agent was very nice and gave us the Ford Explorer.;yes
I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous.;yes
I recently rented a car and they were outstanding.  The customer service rep was very helpful and courteous.  They even let me extend my rental by a couple of hours for no charge at all. I was very pleased with my experience and I would go back.;yes
Wonderful experience - the rental and whole process was seamless;yes
They had problem to find reservation number, so whole process took too long time.;no
It took us almost three hours just to get a car! It was absurd.;no
Provide more convenient car pickup from the airport parking.;no
We dealt with customer service at car pick-up place, and drive off in few minutes.;yes
We got our car very quickly.;yes
I get keys from customer service and was able to start my vacation,it was nice;yes
I have never rented the car for a week.  It was great experience. It was in agreement with what my friend said about this company.;yes
greater expedience - the rental and whole process was easy and fast;yes
They couldn't find my confirmation number in their system, which was rather frustrating.;no
The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.;no
Provide more frequent pickup from the airport.;no
We dealt very little with customer service, and we only walked to the car assigned for us, and drive away.;yes
we got the car quickly;yes
I did not need to deal with customer service on my last vacation rental which was nice;yes
For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company;yes
